,,BANK OF DITCH (BO. PADONG),(SITIO) SARGEANT PLS/ CONC. MON.,ILOCOS NORTE,REGION I,,,14572.29,26187.55,,,,,
BLBM,1,,ABUCAY,ILOCOS NORTE,REGION I,,,19440.48,22149.55,,,,,
BLBM,2,,ABUCAY,ILOCOS NORTE,REGION I,,,19512.82,2247.54,,,,,
BLBM,1,,ACABOT,ILOCOS NORTE,REGION I,,,20815.34,18004.16,,,,,
BLBM,2,,ACABOT,ILOCOS NORTE,REGION I,,,20849.08,17949.06,,,,,
TRI. STA.,,E. BASE (PASALENG),ADAM,ILOCOS NORTE,REGION I,18-33-37.64,120-56-17.37,,,,,,,"TO STATIONS = W. BASE, MADAMBA"
TRI. STA.,,FLAG FORO,ADAM,ILOCOS NORTE,REGION I,18-34-52.01,120-57-50.37,,,,,,,"TO STATIONS = E. BASE, W. BASE"
TRI. STA.,,MADAMBA,ADAM,ILOCOS NORTE,REGION I,18-36-00.00,120-58-34.02,,,,,,,"TO STATIONS = PERDIDO, BABATQUAN, PORO"
TRI. STA.,,"OF TREES, MT. BURBURAN TOPS",ADAM,ILOCOS NORTE,REGION I,18-24-50.56,120-52-22.56,,,,,,,"TO STATIONS = PALEMLEM, CATALUAN, LINAO"
TRI. STA.,,PORO,ADAM,ILOCOS NORTE,REGION I,18-34-52.91,120-57-50.37,,,,,,,"TO STATIONS = E. BASE, W. BASE"
TRI. STA.,,W. BASE (PASELANG),ADAM,ILOCOS NORTE,REGION I,18-33-43.08,120-55-19.28,,,,,,,"TO STATIONS = MANUNG, MADAMBA"
TRI. STA.,,BULU,ADAM (LUZON DATUM),ILOCOS NORTE,REGION I,18-21-34.076,120-56-28.666,,,,,,,"TO STATIONS = LINAO, PALEMLEM, CATALUAN"
TRI. STA.,,LINAO,ADAM (LUZON DATUM),ILOCOS NORTE,REGION I,18-21-17.911,120-54-41.366,,,,,,,"TO STATIONS = CATALUAN, LAMBAYU, NAGDUBADUBAN"
TRI. STA.,,MACAGOTOGOT,ADAM (LUZON DATUM),ILOCOS NORTE,REGION I,18-34-37.608,120-58-37.082,,,,,,,"TO STATIONS = PALEMLEM, C. & G. MANUNG, ULABAT"
TRI. STA.,,MAGNAS,ADAM (LUZON DATUM),ILOCOS NORTE,REGION I,18-26-49.125,120-57-31.412,,,,,,,"TO STATIONS = LINAO, PALEMLEM, ULABAT"
TRI. STA.,,PALEMLEM,ADAM (LUZON DATUM),ILOCOS NORTE,REGION I,18-30-45.454,120-53-00.025,,,,,,,"TO STATIONS = ULABAT, CATALUAN, LINAO"
TRI. STA.,,PAO,ADAM (LUZON DATUM),ILOCOS NORTE,REGION I,18-26-27.254,120-51-43.312,,,,,,,"TO STATIONS = PALEMLEM, CATALUAN"
BLLM,1,CAD 794-D,ADAMS,ILOCOS NORTE,REGION I,18-27-48.366,120-54-00.372,,,2042054.36,489448.785,,,
BLBM,1,,AMBAGSANG,ILOCOS NORTE,REGION I,,,15947.98,21394.44,,,,,
BLBM,2,,AMBAGSANG,ILOCOS NORTE,REGION I,,,15836.73,21514.23,,,,,
BLBM,1,,AOANG,ILOCOS NORTE,REGION I,,,18080.96,17716.17,,,,,
BLBM,2,,AOANG,ILOCOS NORTE,REGION I,,,18227.31,17771.76,,,,,
BLBM,1,,APAYA,ILOCOS NORTE,REGION I,,,17546.71,14646.39,,,,,
BLBM,2,,APAYA,ILOCOS NORTE,REGION I,,,17480.6,14619.02,,,,,
BLBM,1,,BAAY,ILOCOS NORTE,REGION I,,,26692.44,20816.96,,,,,
BLBM,2,,BAAY,ILOCOS NORTE,REGION I,,,26733.1,20833.25,,,,,
BLBM,1,,BACAIL,ILOCOS NORTE,REGION I,,,19824.56,16928.05,,,,,
BLBM,2,,BACAIL,ILOCOS NORTE,REGION I,,,19857.38,16861.15,,,,,
BLBM,1,AN CIRIACO,BACARRA,ILOCOS NORTE,REGION I,,,21833.83,16963.93,2020605.809,455626.127,,,
BLBM,2,AN CIRIACO,BACARRA,ILOCOS NORTE,REGION I,,,21820.56,16679.02,2020593.148,455341.196,,,
TRI. STA.,,BACARRA B.T.,BACARRA,ILOCOS NORTE,REGION I,,,20052.95,20143.69,2018818.186,458801.987,,,
TRI. STA.,,BACARRA B.T.,BACARRA,ILOCOS NORTE,REGION I,,,20052.95,20143.69,,,,,
TRI. STA.,,BACARRA CH. B.T.,BACARRA,ILOCOS NORTE,REGION I,18-15-11.193,120-36-37.658,,,,,,,"TO STATIONS = WHITE, PASUNGUIN BLOCK, SAN MIGUEL"
 KM. M # 12 ,,BACARRA-PASUQUIN,BACARRA,ILOCOS NORTE,REGION I,,,25030.03,18783.6,2023798.021,457452.574,,,
KM. M # 10,,BACARRA-PASUQUIN,BACARRA,ILOCOS NORTE,REGION I,,,23074.89,19074.27,2021842.319,457739.057,,,
KM. M # 11,,BACARRA-PASUQUIN,BACARRA,ILOCOS NORTE,REGION I,,,24060.26,18947.42,2022827.93,457614.317,,,
KM. M # 8 ,,BACARRA-PASUQUIN,BACARRA,ILOCOS NORTE,REGION I,,,21157.01,19326.91,2019923.958,457987.591,,,
TRI. STA.,1,BLOCK,BACARRA,ILOCOS NORTE,REGION I,,,23624.88,16260.48,2022398.311,454926.524,,,
TRI. STA.,,BLOCK,BACARRA,ILOCOS NORTE,REGION I,,,23624.88,16260.45,2022398.311,454926.494,,,
TRI. STA.,,BLOCK,BACARRA,ILOCOS NORTE,REGION I,,,23624.88,16260.45,,,,,
TRI. STA.,,BLOCK,BACARRA,ILOCOS NORTE,REGION I,18-17-07.385,120-34-25.312,,,,,,,"TO STATIONS = PASUGUIN, CAUIT"
BLLM,1-A,CAD 731-D,BACARRA,ILOCOS NORTE,REGION I,18-15-13.179,120-26-31.401,,,2018879.348,458622.619,,,
BLLM,1-A,CAD 731-D,BACARRA,ILOCOS NORTE,REGION I,,,,,2018738.416,458726.694,,,
BLBM,1,CADARATAN,BACARRA,ILOCOS NORTE,REGION I,,,24420.83,18768.66,2023188.871,457436.333,,,
BLBM,2,CADARATAN,BACARRA,ILOCOS NORTE,REGION I,,,24350.43,18777.89,2023118.454,457445.412,,,
BDRY. MON.,,ILOCOS NORTE & ILOCOS SUR,BACARRA,ILOCOS NORTE,REGION I,,,16334.89,19156.79,,,,,
BLBM,1,NTRA. SRA. DE LA PAZ,BACARRA,ILOCOS NORTE,REGION I,,,23160.86,20273.64,2021925.721,458938.574,,,
BLBM,2,NTRA. SRA. DE LA PAZ,BACARRA,ILOCOS NORTE,REGION I,,,23145.93,20325.43,2021910.681,458990.331,,,
BLBM,1,SAN BENIGNO,BACARRA,ILOCOS NORTE,REGION I,,,22755.43,17724.57,2021525.755,456388.715,,,
BLBM,2,SAN BENIGNO,BACARRA,ILOCOS NORTE,REGION I,,,22737.07,17720.24,2021507.405,456384.345,,,
BLBM,1,SAN RAFAEL,BACARRA,ILOCOS NORTE,REGION I,,,24825.11,23234.33,2023583.585,461902.723,,,
BLBM,1,SAN RAFAEL,BACARRA,ILOCOS NORTE,REGION I,,,24826.34,23281.48,2023584.714,461949.874,,,RELOCATION
BLBM,2,SAN RAFAEL,BACARRA,ILOCOS NORTE,REGION I,,,24846.65,23247.02,2023605.097,461915.459,,,
BLBM,2,SAN RAFAEL,BACARRA,ILOCOS NORTE,REGION I,,,24765.12,23245.52,2023523.573,461913.785,,,RELOCATION
BLBM,1,STA. CATALINA,BACARRA,ILOCOS NORTE,REGION I,,,20651.98,16865.36,2019424.204,455525.034,,,
BLBM,2,STA. CATALINA,BACARRA,ILOCOS NORTE,REGION I,,,20520.23,17026.14,2019292.115,455685.528,,,
TRI. STA.,,WHITE,BACARRA,ILOCOS NORTE,REGION I,,,24390.07,20480.02,2023154.451,459147.575,,,
