BLLM,1,PLS - 963,AGLIPAY,NUEVA VISCAYA,II,16-29-21.395,121-38-28.634,20000,20000,,,,,
BBM,25,Csd 1741,DIFFUN,Nueva Viscaya,II,,,23400.09,29921.22,,,,,
BLLM,1,Csd 1740,DIFFUN,Nueva Viscaya,II,16-41-38.497,121-32-50.854,,,,,,,
BLLM,1,PLS 286,DIFFUN,Nueva Viscaya,II,16-41-38.497,121-32-50.854,30000,30000,,,,,
BLLM,2,Csd 1740,DIFFUN,Nueva Viscaya,II,16-41-36.75,121-32-48.85,,,,,,,
BLLM,1,Pls - 18,Kasibu,Nueva Viscaya,II,16-19-06.31,121-17-39.42,20000,20000,,,,,
BLLM,2,Pls - 18,Kasibu,Nueva Viscaya,II,,,20025.23,20051.25,,,,,
BLLM,3,Pls - 18,Kasibu,Nueva Viscaya,II,,,21720.67,15196.99,,,,,
BLLM,4,Pls - 18,Kasibu,Nueva Viscaya,II,,,21989.75,14987.31,,,,,
BLLM,5,Pls - 18,Kasibu,Nueva Viscaya,II,,,25111.45,13247.38,,,,,
BLLM,6,Pls - 18,Kasibu,Nueva Viscaya,II,,,25088.26,13521.31,,,,,
BLLM,1,Pls 693-D,Maddela,Nueva Viscaya,II,16-20-41.04,121-41-15.65,20000,20000,,,,,
MBM,1,Pls 693-D,Maddela,Nueva Viscaya,II,,,23667.66,14623.22,,,,,Boundary 
MBM,1,Pls 693-D,Maddela,Nueva Viscaya,II,,,26678.79,17981.82,,,,,
MBM,2,Pls 693-D,Maddela,Nueva Viscaya,II,,,28512.34,23573.8,,,,,intersection
MBM,2,Pls 693-D,Maddela,Nueva Viscaya,II,,,31462.99,21154.41,,,,,
S,421,Cad 253,Maddela,Nueva Viscaya,II,16-24-41.00,121-43-53.95,27375.92,24697.66,,,,,
T,69,Pls 433D,Maddela,Nueva Viscaya,II,16-22-26.40,121-42-21.67,23238.59,21959.36,,,,,
T,125,Pls 433D,Maddela,Nueva Viscaya,II,16-23-10.61,121-43-09.17,24597.63,23369.05,,,,,
T,247,Pls 433D,Maddela,Nueva Viscaya,II,16-22-28.38,121-40-34.67,23299.48,18783.94,,,,,
T,297,Pls 433D,Maddela,Nueva Viscaya,II,16-23-18.00,121-40-30.40,24824.63,18657.13,,,,,
