TRI. STA.,,CUT,AGDANGAN,QUEZON,REGION IV-A,13-52-46.100,121-52-54.860,,,,,,,"TO STATIONS = ANT, HILL"
TRI. STA.,,ANT,AGDANGAN (LUZON DATUM),QUEZON,REGION IV-A,13-51-53.959,121-53-21.697,,,,,,,"TO STATIONS = SEP, MIT"
TRI. STA.,,FIN,AGDANGAN (LUZON DATUM),QUEZON,REGION IV-A,13-51-21.355,121-54-09.503,,,,,,,"TO STATIONS = SEP, HOT, BALANACAN, LAPATA, SILANCAPO"
BBM,1,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1559927.91,609496.63,,,
BBM,2,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1560251.06,609407.87,,,
BBM,3,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1557633.92,613552.88,,,
BBM,4,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1559825.23,609299.33,,,
BBM,5,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1559776.61,609205.32,,,
BBM,6,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1559728.75,609108.94,,,
BBM,7,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1559712.13,609000.55,,,
BBM,8,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1559547.3,609278.84,,,
BBM,9,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1559228.86,609089.55,,,
BBM,10,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1559756.85,609095.41,,,
BBM,11,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1560187.52,608468.76,,,
BBM,12,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1560297.64,608827.27,,,
BBM,13,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1559614.43,609604.18,,,
BBM,14,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1559283.55,610863.07,,,
BBM,15,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1553129.37,611032.59,,,
BBM,16,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1558645.78,611555.96,,,
BBM,17,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1559001.24,611831.38,,,
BBM,18,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,155162.74,613486.82,,,
BBM,19,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1557159.99,613957.09,,,
BBM,20,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1556680.23,614465.22,,,
BBM,21,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1556886.66,614617.78,,,
BBM,22,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1556624.65,614995.21,,,
BBM,23,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1556471.19,615066.83,,,
BBM,24,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1555930.62,614046.66,,,
BBM,25,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1555633.11,615484.8,,,
BBM,26,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1556967.52,615484.8,,,
BBM,27,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1560930.23,615215.52,,,
BBM,28,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1562192.16,618845.9,,,
BBM,29,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1562569.23,618387.86,,,
BBM,30,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1563064.86,607482.76,,,
BBM,31,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1560497.58,607397.03,,,
