BLLM,1,PLS1013,ALAMADA,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-23-18.798,124-32-49.401,,,816962.31,449995.79,,,,,,,,,,
BLLM,2,PLS1013,ALAMADA,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,,,817021.32,450404.55,,,,,,,,,,
KC,73,,AMAS KIDAPAWAN CITY,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-03-27.2694,124-58-58.6724,780634.6415,464110.1692,780337.3267,498117.9696,,,ESTABLISHED BY FNSP-K,,,,,,,
KC,74,,AMAS KIDAPAWAN CITY,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-03-31.6512,124-58-54.2911,780634.6415,464110.1692,780471.9231,497983.5202,,,ESTABLISHED BY FNSP-K,,,,,,,
KC,41,,AMAZION KIDAPAWAN CITY,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-01-20.9273,125-00-18.5715,,,776456.5391,500568.1275,,,ESTABLISHED BY FNSP-K,,,,,,,
KC,42,,AMAZION KIDAPAWAN CITY,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-01-20.4672,125-00-20.7252,,,776442.4073,500636.0685,,,ESTABLISHED BY FNSP-K,,,,,,,
ARK,3,,ANAPOLON ARAKAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-23-23.5635,125-03-07.3249,,,817086.6795,515744.4609,,,ESTABLISHED BY FNSP-K,,,,,,,
ARK,4,,ANAPOLON ARAKAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-23-50.5531,125-03-13.5796,,,817912.6636,515936.1666,,,ESTABLISHED BY FNSP-K,,,,,,,
TRI.STA,,,ANUNGAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-29-05.712,122-96-26.022,,,,,,,,,,,,,,
TRI.STA,,,BAC,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-31-34.071,123-22-22.815,,,,,,,,,,,,,,
TRI.STA,,,BACOLOD MOSQUE,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-51-22.27,124-08-16.57,,,,,,,,,,,,,,
TRI.STA,,,BAGANIAU,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-25-41.932,123-23-29.698,,,,,,,,,,,,,,
BTAPAY,1,,BAGONTAPAY,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,6-52-55.1590,124-54-07.1002,,,760922.3915,489166.1192,,,ESTABLISHED BY FNSP-K,,,,,,,
BTAPAY,2,,BAGONTAPAY,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,6-52-51.0828,124-53-55.7682,,,760797.2585,488818.2035,,,ESTABLISHED BY FNSP-K,,,,,,,
TRI.STA,,,BALA,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,6-25-19.042,124-04-47.241,,,,,,,,,,,,,,
KC,15,,BALABAG KIDAPAWAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-01-53.46888,125-11-08.81503,,,777460.1643,520525.8821,,,ESTABLISHED BY FNSP-K,,,,,,,
KC,16,,BALABAG KIDAPAWAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-01-54.6480,125-11-05.0638,,,777496.3383,520410.7444,,,ESTABLISHED BY FNSP-K,,,,,,,
