MON.,182,IMUS ESTATE,LAS PIÑAS,METRO MANILA,NCR,,,14104.31,19287.05,,,,,
BLBM,3,LAS PIÑAS,LAS PIÑAS,METRO MANILA,NCR,,,,20229.51,,,,,NORTHING = MISSING
BLBM,3,LAS PIÑAS,LAS PIÑAS,METRO MANILA,NCR,14-29-05.705,120-58-57.218,20259.32,20229.41,,,,,NEW
BLBM,4,LAS PIÑAS,LAS PIÑAS,METRO MANILA,NCR,14-28-00.264,120-58-52.574,20092.11,20090.35,,,,,
BLBM,5,LAS PIÑAS,LAS PIÑAS,METRO MANILA,NCR,,,19970.23,19962.77,,,,,
BLBM,,LAS PIÑAS,LAS PIÑAS,METRO MANILA,NCR,,,20000,20000,,,,,
KM. M. NO.,15,LAS PIÑAS - ALABANG,LAS PIÑAS,METRO MANILA,NCR,,,18271.96,18537.84,,,,,
KM. M. NO.,16,LAS PIÑAS - ALABANG,LAS PIÑAS,METRO MANILA,NCR,,,17318.73,18836.3,,,,,
KM. M. NO.,17,LAS PIÑAS - ALABANG,LAS PIÑAS,METRO MANILA,NCR,,,16705.46,19648.87,,,,,
KM. M. NO.,18,LAS PIÑAS - ALABANG,LAS PIÑAS,METRO MANILA,NCR,,,16261.63,20541.24,,,,,
KM. M. NO.,19,LAS PIÑAS - ALABANG,LAS PIÑAS,METRO MANILA,NCR,,,15867,21447.77,,,,,
KM. M. NO.,13,LAS PIÑAS - CAVITE,LAS PIÑAS,METRO MANILA,NCR,,,19658.4,19649.52,,,,,
KM. M. NO.,14,LAS PIÑAS - CAVITE,LAS PIÑAS,METRO MANILA,NCR,,,18952.12,19199.19,,,,,
KM. M. NO.,15,LAS PIÑAS - CAVITE,LAS PIÑAS,METRO MANILA,NCR,,,18278.18,18505.25,,,,,
TRI. STA.,,LAS PIÑAS CH. SPIRE,LAS PIÑAS,METRO MANILA,NCR,,,19996.25,19977.93,,,,,
BBM,1,MCadm 592-D,LAS PIÑAS,METRO MANILA,NCR,,,,,1598432.01,499130.23,,,
BBM,2,MCadm 592-D,LAS PIÑAS,METRO MANILA,NCR,,,,,1598785.3,499285.59,,,
BBM,3,MCadm 592-D,LAS PIÑAS,METRO MANILA,NCR,,,,,1597149.57,499712.27,,,
BBM,4,MCadm 592-D,LAS PIÑAS,METRO MANILA,NCR,,,,,1596171.51,500693.87,,,
BBM,5,MCadm 592-D,LAS PIÑAS,METRO MANILA,NCR,,,,,1594814.48,501138.38,,,
BBM,6,MCadm 592-D,LAS PIÑAS,METRO MANILA,NCR,,,,,1597122.09,500995.99,,,
BBM,7,MCadm 592-D,LAS PIÑAS,METRO MANILA,NCR,,,,,1595907.04,501585.28,,,
BBM,8,MCadm 592-D,LAS PIÑAS,METRO MANILA,NCR,,,,,1595314.22,498456.96,,,
BBM,9,MCadm 592-D,LAS PIÑAS,METRO MANILA,NCR,,,,,1597514.63,499221.03,,,
BBM,10,MCadm 592-D,LAS PIÑAS,METRO MANILA,NCR,,,,,1597460.494,496972.392,,,
BBM,11,MCadm 592-D,LAS PIÑAS,METRO MANILA,NCR,,,,,1596531.247,500818.044,,,
BBM,12,MCadm 592-D,LAS PIÑAS,METRO MANILA,NCR,,,,,1595974.286,499930.78,,,
BBM,13,MCadm 592-D,LAS PIÑAS,METRO MANILA,NCR,,,,,1596592.999,500460.155,,,
BBM,14,MCadm 592-D,LAS PIÑAS,METRO MANILA,NCR,,,,,1598540.509,497119.499,,,
BBM,15,MCadm 592-D,LAS PIÑAS,METRO MANILA,NCR,,,,,1598202.166,497626.496,,,
BBM,16,MCadm 592-D,LAS PIÑAS,METRO MANILA,NCR,,,,,1598600.616,497068.352,,,
BBM,17,MCadm 592-D,LAS PIÑAS,METRO MANILA,NCR,,,,,1599666.98,497409.002,,,
BBM,18,MCadm 592-D,LAS PIÑAS,METRO MANILA,NCR,,,,,1594174.6,499759.44,,,
BBM,19,MCadm 592-D,LAS PIÑAS,METRO MANILA,NCR,,,,,1599344.083,497145.642,,,
BBM,20,MCadm 592-D,LAS PIÑAS,METRO MANILA,NCR,,,,,1599873.45,497669.13,,,
BBM,21,MCadm 592-D,LAS PIÑAS,METRO MANILA,NCR,,,,,1600151.412,498089.365,,,
BBM,22,MCadm 592-D,LAS PIÑAS,METRO MANILA,NCR,,,,,1601600.813,497586.569,,,
BBM,23,MCadm 592-D,LAS PIÑAS,METRO MANILA,NCR,,,,,1599745.207,499408.8,,,
BBM,24,MCadm 592-D,LAS PIÑAS,METRO MANILA,NCR,,,,,1601478.32,497511.333,,,
BBM,25,MCadm 592-D,LAS PIÑAS,METRO MANILA,NCR,,,,,1597936.469,498140.619,,,
BBM,26,MCadm 592-D,LAS PIÑAS,METRO MANILA,NCR,,,,,1601859.246,497787.772,,,
BBM,27,MCadm 592-D,LAS PIÑAS,METRO MANILA,NCR,,,,,1599553.954,496348.536,,,
