BLLM,1,PLS 15 (PHILCUSA-FOA),CALINTAAN ,OCCIDENTAL MINDORO,REGION IV-B,12-34-20.017,120-56-23.579,30000.00,30000.00,,,,,
BLLM ,1,PLS 42 (PHILCUSA-FOA),LOOC LUBANG & GALO ISLAND ,OCCIDENTAL MINDORO,REGION IV-B,13-43-17.40,120-14-50.36,30000.00,30000.00,,,,,
BLLM ,1,PLS 41,LUBANG,OCCIDENTAL MINDORO,REGION IV-B,13-51-35.00,120-07-32.6,30000.00,30000.00,,,,,
BLLM ,1,PLS 21,MAMBURAO,OCCIDENTAL MINDORO,REGION IV-B,13-13-38.924,120-35-31.198,30000.00,30000.00,,,,,
BLLM ,2,PLS 21,MAMBURAO,OCCIDENTAL MINDORO,REGION IV-B,,,30107.26,29866.77,,,,,
BLLM ,2 Abra de Ilog,PLS 21,MAMBURAO,OCCIDENTAL MINDORO,REGION IV-B,,,53964.50,44559.23,,,,,
BLLM ,1,CAD 646-D,PALUAN,OCCIDENTAL MINDORO,REGION IV-B,13-24-35.242,120-27-53.490,,,1482943.69,442043.38,,,
BLLM ,2,CAD 646-D,PALUAN,OCCIDENTAL MINDORO,REGION IV-B,,,,,1483106.657,441843.418,,,
BLLM ,1,PLS 25 (PHILCUSA-FOA),ABRA DE ILOG ,OCCIDENTAL MINDORO,REGION IV-B,13-26-45.380,120-43-38.183,20000.00,20000.00,,,,,
BLLM ,1,PLS 26 (PHILCUSA-Foa),PALUAN,OCCIDENTAL MINDORO,REGION IV-B,13-24-35.237,120-27-53.513,20000.00,20000.00,,,,,
BLLM ,1,PLS 14 (philcusa-foa),SABLAYAN,OCCIDENTAL MINDORO,REGION IV-B,12-49-26.73,120-49-56.96,40000.00,40000.00,,,,,
BLLM ,4,PLS 14 (philcusa-foa),SABLAYAN,OCCIDENTAL MINDORO,REGION IV-B,,,38735.08,47094.80,,,,,
BLLM ,1,PLS 164,SABLAYAN,OCCIDENTAL MINDORO,REGION IV-B,12-50-07.89,120-46-01.69,40000.00,40000.00,,,,,
BLLM ,5,PLS 164,SABLAYAN,OCCIDENTAL MINDORO,REGION IV-B,12-54-04.58,120-48-41.63,47273.10,44822.21,,,,,
BLLM ,1,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,12-21-37.833,121-06-07.535,20000.00,20000.00,,,,,
BLLM ,2,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,20428.73,20212.95,,,,,
BLLM ,3,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,21567.92,22345.58,,,,,
BLLM ,4,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,21751.98,22679.03,,,,,
BLLM ,5,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,20371.92,24222.73,,,,,
BLLM ,6,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,20283.29,24103.57,,,,,
BLLM ,7,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,19572.86,22516.89,,,,,
BLLM ,8,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,19391.29,22058.60,,,,,
BLLM ,9,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,17616.32,27144.91,,,,,
BLLM ,10,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,17937.11,27381.11,,,,,
BLLM ,11,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,19971.18,27924.51,,,,,
BLLM ,12,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,20123.00,28080.79,,,,,
BLLM ,13,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,22709.17,28402.24,,,,,
BLLM ,14,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,22564.41,28575.85,,,,,
BLLM ,15,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,21170.83,30073.65,,,,,
