0128,ILOCOS NORTE
0129,ILOCOS SUR
0133,LA UNION
0155,PANGASINAN
0209,BATANES
0215,CAGAYAN
0231,ISABELA
0250,NUEVA VIZCAYA
0257,QUIRINO
0308,BATAAN
0314,BULACAN
0349,NUEVA ECIJA
0354,PAMPANGA
0369,TARLAC
0371,ZAMBALES
0377,AURORA
0410,BATANGAS
0421,CAVITE
0434,LAGUNA
0456,QUEZON
0458,RIZAL
0505,ALBAY
0516,CAMARINES NORTE
0517,CAMARINES SUR
0520,CATANDUANES
0541,MASBATE
0562,SORSOGON
0604,AKLAN
0606,ANTIQUE
0619,CAPIZ
0630,ILOILO
0679,GUIMARAS
0712,BOHOL
0722,CEBU
0761,SIQUIJOR
0826,EASTERN SAMAR
0837,LEYTE
0848,NORTHERN SAMAR
0860,SAMAR (WESTERN SAMAR)
0864,SOUTHERN LEYTE
0878,BILIRAN
0972,ZAMBOANGA DEL NORTE
0973,ZAMBOANGA DEL SUR
0983,ZAMBOANGA SIBUGAY
1013,BUKIDNON
1018,CAMIGUIN
1035,LANAO DEL NORTE
1042,MISAMIS OCCIDENTAL
1043,MISAMIS ORIENTAL
1123,DAVAO DEL NORTE
1124,DAVAO DEL SUR
1125,DAVAO ORIENTAL
1182,COMPOSTELA VALLEY
1186,DAVAO OCCIDENTAL
1247,COTABATO (NORTH COTABATO)
1263,SOUTH COTABATO
1265,SULTAN KUDARAT
1280,SARANGANI
1401,ABRA
1411,BENGUET
1427,IFUGAO
1432,KALINGA
1444,MOUNTAIN PROVINCE
1481,APAYAO
1507,BASILAN
1536,LANAO DEL SUR
1538,MAGUINDANAO
1566,SULU
1570,TAWI-TAWI
1602,AGUSAN DEL NORTE
1603,AGUSAN DEL SUR
1667,SURIGAO DEL NORTE
1668,SURIGAO DEL SUR
1685,DINAGAT ISLANDS
1740,MARINDUQUE
1751,OCCIDENTAL MINDORO
1752,ORIENTAL MINDORO
1753,PALAWAN
1759,ROMBLON
1845,NEGROS OCCIDENTAL
1846,NEGROS ORIENTAL
